序号,section,题号,单词,音标,释义
409,S10,Q4,skullduggery,[sk?l'd?ɡ?r?],欺骗  secret or dishonest?behavior or activity
410,S10,Q4,indolence,[??nd?l?ns],懒惰  inclination to laziness?:?sloth
411,S10,Q4,incivility,[??ns??v?l?ti],不礼貌  a?rude?or?impolite?attitude or behavior
412,S10,Q5,lethargy,[?leθ?rd?i],"倦怠  the quality or state of being lazy,?sluggish,?or?indifferent"
413,S10,Q5,fervor,[?f??v?],激情  a strong feeling of excitement?and?enthusiasm
414,S10,Q5,hybrid,[?ha?br?d],"杂交种    A hybrid is an animal or plant that has been bred from two different species of
animal or plant."
415,S10,Q5,indiscriminate,[??nd??skr?m?n?t],"1.任意而为的  not careful in making choices
2.  混合的  heterogeneous,?motley"
416,S10,Q5,conciliatory,[k?n?s?li?t??ri],"1.  安抚的  to make someone more?friendly?or?less?angry
2.  调解的  to make compatible : reconcile"
417,S10,Q6,beguile,[b??ɡa?l],"1.  欺骗  to trick?or?deceive someone
2.  吸引  to attract?or?interest someone"
418,S10,Q6,forestall,[f??r?st??l],"1.预先阻止  to stop something from happening or to cause something to happen at a later time
2.在…之前行动，比…先采取行动  : to get ahead of : anticipate"
419,S10,Q6,baffle,[?b?fl],使…困惑  to confuse someone completely
420,S10,Q6,buoy,[?b?i],"1.  使…振奋  to cause someone to feel?happy?or?confident
2.  支持  support,?improve"
421,S10,Q6,insouciance,[?n?su?si?ns],漫不经心  lighthearted unconcern : nonchalance
422,S10,Q6,stoicism,[?sto??s?z?m],坚忍克己;  坦然淡定  indifference to pleasure or pain : impassiveness
423,S10,Q6,alacrity,[??l?kr?ti],敏捷  promptness in response
424,S10,Q7,belie,[b??la?],"1.  掩饰；与…不符  to give?a?false?impression?of
2.  证明…为虚假  to show something to be false?or?wrong"
425,S10,Q7,mask,[m?sk],掩饰，遮盖  keep something from?being?known?or?noticed
426,S10,Q7,nullify,[?n?l??fa?],"1.  使无效  to cause something to lose its value or to have?no?effect
2.  使失去法律效力  to make something legally?null"
427,S10,Q7,accentuate,[?k?s?nt?uet],"使突出，强调  to make something more noticeable : accent,?emphasize,?intesify"
428,S10,Q8,disheartening,[d?s?hɑ?tn??],令人沮丧的  to make someone feel?disappointed?and less confident or less hopeful
429,S10,Q8,pedestrian,[p??d?str??n],"无聊乏味的，没有想象力的  not interesting or unusual : commonplace,?unimaginative"
430,S10,Q8,knotty,[?nɑti],复杂的;  难以解决的  complicated?or?difficult
431,S10,Q9,vapid,[?v?p?d],无聊乏味的  not lively or interesting: dull?or?boring
432,S10,Q9,sagacious,[s??ɡe??s],"睿智的  having or showing an?ability?to?understand?difficult?ideas and situationsand to make
good decisions"
433,S10,Q9,distressing,[d??str?s??],"使人心烦的;  使人忧虑的  If something is distressing, it upsets you or?worries you."
434,S10,Q9,opaque,[o?pek],"1.  难理解的  difficult?to?understand    or explain
2.  不透光的  not letting light through : not?transparent"
435,S10,Q9,banal,[b??nɑl],无聊的  boring?or?ordinary : not interesting
436,S10,Q10,detrimental,[?d?tr??m?ntl],有害的  causing?damage?or?injury
437,S10,Q10,extraneous,[?k?stre?ni?s],无关的，不必要的  not forming a necessary part of something : not?important
438,S11,Q1,desertion,[d??z???n],遗弃  a state of being deserted or forsaken
439,S11,Q1,quixotic,[kw?k?sɑ?t?k],"1.  不切实际的     imaginative or hopeful but unrealistic?????
2.  多变的，不可预测的  capricious,?unpredictable"
440,S11,Q1,inconsequential,[?n?kɑ?ns??kwen?l],不重要的;  微不足道的;  无足轻重的  not?important
441,S11,Q2,exposition,[??ksp??z???n],"1.  阐述  the act of explaining something : clear?explanation
2.  展览会  a public show?or?exhibition"
442,S11,Q2,elucidate,[i?lu?s?de?t],说明，阐明  to make?something that is hard to understand clear?or?easy to understand
443,S11,Q2,animadversion,[??n?m?d?v???n],批评;  指责  criticism?or?censure
444,S11,Q2,culmination,[?k?lm??ne??n],"1.  结局  the?end?or?final?result of something
2.  顶点  culminating position : climax"
445,S11,Q2,divination,[?d?v??ne??n],预言，占卜  the practice of using signs or special powers to predict?the future
446,S11,Q3,encumber,[?n?k?mb?],阻碍  to impede?or?hamper the function or activity of : hinder
447,S11,Q3,replete,[r??plit],"1.  充满的  having much or plenty of something : filled?with?something
2.  吃饱喝足的  having had plenty to eat : pleasantly full"
448,S11,Q3,discretion,[d??skr???n],"1    谨慎 the quality of being careful about what you do and say so that epople will not be embarrassed or offended
2    决断能力，处理权  (at sb's discretion:根据某人的决定) the ability and right to decide exactly
what should be done in a particular situation"
449,S11,Q3,discretionary,[d??skr????n?ri],自由决定的  available to be used when and how you?decide
450,S11,Q3,bureaucratic,[?bj?r??kr?t?k],"官僚主义的  using or connected with many complicated rules and ways of doing things : of,
relating to, or like a bureaucracy or bureaucrat"
451,S11,Q4,deplore,[d?'pl?r],"〔尤指公开地〕强烈反对，谴责  【正式】to disapprove of something very strongly and criticize
it severely, especially publicly"
452,S11,Q4,naysayer,[?ne??se??],"经常拒绝(或否定、反对)的人  one who denies,?refuses,?opposes,?or?is?skeptical?or?cynical?about
something"
453,S11,Q4,pushover,[?p??o?v?r],"1.  容易打败的对手  an opponent?that?is?easy?to?defeat
2.  容易做的事  something that is easy?to?do
3.  容易被说服的人  someone?who?is?easy?to?persuade?or?influence"
454,S11,Q4,braggart,[?br?ɡ?rt],爱吹牛的  boastful
455,S11,Q4,perplexing,[p??pleks??],令人困惑的  to confuse someone very much
456,S11,Q5,excavate,[??ksk??vet],挖掘  to uncover something by digging away and removing the earth that covers it
457,S11,Q5,underscore,[??nd?r?sk??r],强调  to?emphasize something or show the importance of something
458,S11,Q5,alienation,[?e?li??ne??n],疏远     estrangement
459,S11,Q6,patriotism,[?petr??t?z?m],爱国主义  love?for or devotion?to one's country
460,S11,Q7,trade-off,"['treid?f,-?:f]","〔两种对立事物之间的〕平衡，妥协，协调  a balance between two opposing things, that you are willing to accept in order to achieve some-thing
a?trade-off?between?sth?and?sth"
461,S11,Q7,foretell,[f?r?t?l],预言  to tell beforehand : predict
462,S11,Q7,obscure,[?b?skj?r],"1.  复杂难懂的  difficult?to?understand????
2.  没有名气的  not?famous or prominent
3.  使……模糊不清  to make dark,?dim,?or?indistinct"
463,S11,Q7,yield,[ jild],"1.  产生  to produce?or?provide??
2.  屈服  to give up and cease resistance or contention : succumb"
464,S11,Q7,engender,[?n?d??nd?],产生，引起  to cause to exist or to develop : produce
465,S11,Q8,polemical,[p??lem?kl],"有争议的  of, relating to, or being a polemic : controversial"
466,S11,Q8,precarious,[pr??k?r?r??s],"(情况)不稳定的，危险的  If your situation is precarious, you are not in complete control of events and might fail in what you are doing at any moment."
467,S11,Q8,rapacious,[r??pe???s],贪婪的  excessively grasping or covetous
468,S11,Q8,enterprising,[??nt?pra?z??],"有开拓精神的;  有创新精神的  having or showing the ability or desire to do?new?and?difficult
things"
469,S11,Q8,avaricious,[??v??r???s],贪婪的  greedy?of gain : covetous
470,S11,Q9,clarity,[?kl?r?ti],清楚，明晰  the quality or state of being clear : lucidity
471,S11,Q9,limpid,[?l?mp?d],"1.  清澈的  marked by transparency : pellucid
2.  简洁流畅的  clear?and?simple in style"
472,S11,Q9,pellucid,[p??lu?s?d],"1.  易懂的，简单明了的  easily understandable;
2.  清澈透明的  very clear"
473,S11,Q9,tranquil,[?tr??kw?l],宁静的  quiet and peaceful
474,S11,Q10,heterogeneous,[?h?t?r??d?in??s],由不同成分形成的  made up of parts that are different
475,S12,Q1,extraneous,[?k?stre?ni?s],无关的，不必要的  not forming a necessary part of something : not?important
476,S12,Q1,conjectural,[k?n?d?ekt??r?l],（无根据的）推测的  an opinion or?idea?formed?without?proof or sufficient evidence
477,S12,Q2,perfunctory,[p??f??kt?ri],"1.例行公事般的，敷衍的  characterized by routine or superficiality : mechanical <a perfunctory smile>
2.  缺少激情的  lacking?in?interest?or enthusiasm"
478,S12,Q2,overt,[o?v?t],公开的;  明显的  easily?seen : not secret or hidden
479,S12,Q2,exacting,[?ɡ?z?kt??],"费劲的;  严苛的  requiring much time, attention, or effort from someone : very difficult or
demanding"
480,S12,Q3,irrational,[??r???nl],不理智的  not?thinking?clearly : not able to use reason or good judgement
481,S12,Q3,futility,[fj??t?l?ti],无用  the quality or state of being futile : uselessness
482,S12,Q4,repository,[r??pɑz??t?ri],贮藏室  a place where a large amount of something is stored
483,S12,Q5,importunate,[?m?p??rt??n?t],"1.  纠缠不休的  making repeated?or?annoying?requests or demands
2.  厌烦的  causing?annoyance?or?trouble"
484,S12,Q5,garrulous,[?ɡ?r?l?s],话多的  tending to talk a lot : very?talktive
485,S12,Q5,mercurial,[m??r?kj?ri?l],善变的??changing????often : very changeable
486,S12,Q6,emulate,[??mjulet],"（因为 admire）而竭力模仿（以便赶上/超过)strive to equal or excel?by?imitating ,especially
because you admire sb"
487,S12,Q7,intoxicated,[?n?tɑks?ket?d],"1.  喝醉的  affected by alcohol or drugs
2.  陶醉的  If you are intoxicated by or with something such as a feeling or an event, you are so excited by it that you find it hard to think clearly and sensibly."
488,S12,Q7,discount,[d?s?ka?nt],"1.  贬损，低估  to think of something as having little?importance?or?value
2.  不理会  to leave out of account : disregard"
489,S12,Q8,outstrip,[?a?t?str?p],"超过，胜过  to be?better,?greater,?or?larger?than"
490,S12,Q9,abound,[??ba?nd],富于，充满  to be present in large numbers or in great quantity : be prevalent
491,S12,Q9,proliferate,[pr??l?f?re?t],激增  to?increase in number or amount quickly
492,S12,Q9,stagnate,[st?ɡ?net],"停滞不前  to stop?developing,?progressing,?moving, etc. : to be stagnant"
493,S12,Q9,coalesce,[?ko???les],合并  to come?together to form one group or mass
494,S12,Q10,decadent,[?dek?d?nt],堕落的    marked by decay?or?decline
495,S12,Q10,degenerate,[d??d??n?ret],退化，堕落  having declined or become less specialized from an ancestral or former state
496,S13,Q1,histrionic,[?h?str??ɑn?k],戏剧化的  too emotional or dramatic?:?theatrical
497,S13,Q1,megalomania,[?meɡ?l??me?ni?],"夸大狂  a condition or mental?illness that causes people to think that they have great or
unlimited power or importance"
498,S13,Q1,egalitarian,[??g?l??t?r??n],"平等主义者；平等主义的  aiming for?equal?wealth, status, etc., for all people"
499,S13,Q1,indolent,[??nd?l?nt],"懒惰的  averse to activity, effort, or movement : habitually lazy"
500,S13,Q1,charismatic,[?k?r?z?m?t?k],有魅力的  having great charm?or?appeal
501,S13,Q2,imperturbable,[??mp?r?t??rb?bl],沉着的，冷静的  very?calm : very hard to disturb or upset
502,S13,Q2,disposition,[?d?sp??z???n],"1.  性情  the usual attitude?or?mood of a person or animal
2.  处理，处置  administration,?control"
503,S13,Q2,volatile,[?vɑl?tl],"1.  变化无常的  likely to change?in?a?very?sudden?or?extreme?way
2.  情绪不稳定的  having or showing extreme or sudden?changes?of?emotion
3.  转瞬即逝的  difficult to capture or hold permanently : evanescent,?transitory"
504,S13,Q2,duplicitous,[dju??pl?s?t?s],欺骗的  deceptive in words or action
505,S13,Q2,cunning,[?k?n??],"1.  狡猾的  getting what is wanted in a clever?and?often?deceptive way
2.  巧妙的  dexterous?or crafty in the use of special resources"
506,S13,Q2,blithe,[bla??],"1.  漫不经心的     lacking due thought or consideration : casual,?heedless
2.  无忧无虑的  happy?and?without?worry"
507,S13,Q3,catalyst,[?k?t?l?st],"1.  催化剂  a substance that cause a chemical reaction to happen more quickly
2.  刺激因素 a person or event that quickly causes change or action"
508,S13,Q3,disperse,[d??sp?s],使分散，传播  to go or move in different directions : to spread?apart
509,S13,Q3,undermine,[??nd??ma?n],"暗中削弱  to make someone or something weaker?or?less?effective usually in a secret or
gradual way"
510,S13,Q5,intransigent,[?n?tr?nz?d??nt],"顽固的，不妥协的  characterized by refusal to compromise ir to abandon an extreme position
or attitude : uncompromising"
511,S13,Q5,feckless,[?fekl?s],"软弱的;  无用的    If you describe someone as feckless, you mean that they lack determination or strength, and are unable to do anything properly.  ：??weak；??ineffective"
512,S13,Q5,munificent,[mju??n?f?snt],慷慨的  very liberal in giving or bestowing : lavish
513,S13,Q5,uncompromising,[?n?kɑ?mpr?ma?z??],"不妥协的  not making or accepting a compromise : making no concessions : inflexible,
unyielding"
514,S13,Q5,taciturn,[?t?s?t??rn],沉默寡言的  tending to be quiet : not speaking frequently
515,S13,Q6,augment,[?ɡ?m?nt],"增加  To augment something means to make?it?larger,?stronger,?or?more?effective by adding
something to it."
516,S13,Q7,prototype,[?prot??ta?p],原型  an original model on which something is patterned : archetype
517,S13,Q7,riddle,[?r?dl],"谜  a mystifying, leading, or puzzling question posed as a problem to be solved or guessed : conundrum,?enigma"
518,S13,Q7,paragon,[?p?r?ɡɑ?n],模范  a model of excellence or perfection
519,S13,Q8,tangible,[?t?nd??bl],"1.  可触摸的  capable of being perceived especially by the sense of touch : palpable
2.  有形的  substantially real : material"
520,S13,Q8,palpable,[?p?lp?bl],"1.  明显的  easily perceptible : noticeable
2.  可感知的,可触摸的  capable of being touched or felt : tangible"
521,S13,Q8,nebulous,[?n?bj?l?s],"模糊的  indistinct,?vague"
522,S13,Q8,nettlesome,[?netls?m],烦人的，易怒的  causing vexation : irritating
523,S13,Q8,incontrovertible,[??nkɑ?ntr??v??rt?bl],无可争议的  not able to be doubted or questioned : indisputable
524,S13,Q8,vague,[veɡ],模糊的  not?clear in meaning : stated in a way that is general and not specific
525,S13,Q9,aberration,[??b??re??n],失常  something that is unusual?or?unexpected
526,S13,Q9,prototype,[?prot??ta?p],原型  an?original?model on which something is patterned : archetype
527,S13,Q10,pertinent,[?p?tn?nt],相关的??relating?to the thing that is being thought about or discussed
528,S14,Q1,linger,[?l??ɡ?],"1.  磨蹭  to be slow to act : procrastinate
2.  继续存在  to continue?to?exist as time passes"
529,S14,Q1,boisterous,[?b??st?r?s],吵闹的  very?noisy and active in a lively way
530,S14,Q1,unpretentious,[??npr??t?n??s],"谦虚的  free from ostentation, elegance, or affectation : modest"
531,S14,Q1,idiosyncrasy,[??d???s??kr?si],癖好，特性  characteristic peculiarity : eccentricity
532,S14,Q1,homogeneity,[?hɑ?m?d???ni??ti],同质，同种  the state of having identical?cumulative?distribution function or values
533,S14,Q2,pedestrian,[p??d?str??n],"无聊乏味的，没有想象力的  not interesting or unusual : commonplace,?unimaginative"
534,S14,Q2,esoteric,[?es??ter?k],"深奥的,只有内行才懂的  known and    understood?by?only?a?few?people??  who have special
knowledge about something"
535,S14,Q2,univocal,[ju??n?v?k?l],意义明确的  having one meaning only : unambiguous
536,S14,Q3,slacken,[?sl?k?n],（使）变缓慢;  （使）变弱  to make less active : slow?up
537,S14,Q3,panacea,[?p?n??si??],万能药  a remedy for all ills or difficulties : cure-all
538,S14,Q4,revisionist,[r??v???n?st],修正主义者  support of ideas and beliefs that differ from and try to change accepted ideas and beliefs especially in a way that is seen as wrong or dishonest
539,S14,Q4,enigmatic,[?en?ɡ?m?t?k],神秘难解的  full of mystery and difficult?to?understand
540,S14,Q5,extravagant,[?k?str?v?g?nt],"1.  奢侈的，浪费的  profuse,?lavish
2.  过度的  more?than?is?usual,?necessary,?or?proper"
541,S14,Q5,banality,[b??n?l?ti],平凡，陈腐  something banal : commonplace
542,S14,Q6,mask,[m?sk],掩饰，遮盖  keep something from?being?known?or?noticed
543,S14,Q6,minuscule,[?m?n?skju?l],极小的  very?small
544,S14,Q8,affinity,[??f?n?ti],"1.相似，密切关系??inherent?resemblance／??similarity between persons or things     .
2.亲切感,喜爱 If you have an affinity with someone or something, you feel that you are similar to them or that you know and understand them very well."
545,S14,Q9,concession,[k?n?s???n],让步  the act or an instance of conceding
546,S14,Q9,imperative,[?m?p?r?t?v],重要的  very?important
547,S14,Q10,precarious,[pr??k?r?r??s],"(情况)不稳定的，危险的  If your situation is precarious, you are not in complete control of events and might fail in what you are doing at any moment."
548,S14,Q10,clandestine,[kl?n?dest?n],"(常指非法地)暗中的；秘密的  Something that is clandestine is hidden or kept secret,often
because it is illegal."
549,S14,Q10,covert,[?kov?t],"隐秘的  made, shown, or done in a way that is not easily seen or noticed : secret?or?hidden"
550,S14,Q10,exhilarating,[?ɡ?z?l?ret??],令人愉快的  make you feel very happy?and?excited
551,S15,Q1,sectarian,[sek?teri?n],"1.  宗派的  relating to?religious?or?political?sects and the differences between them
2.  偏狭的  limited in character or scope : parochial"
552,S15,Q1,baroque,[b??ro?k],冗长复杂的  having many details or too many details
553,S15,Q2,paradox,[?p?r?dɑks],"1.  自相矛盾  (的情况)    You describe a situation as a paradox when it involves two or more facts or qualities that seem to contradict each other.
2.  悖论，似非而是的说法     a statement that seems impossible because it contains two
opposing?ideas?that?are?both?true"
554,S15,Q2,cosmopolitan,[?kɑzm??pɑl?tn],"1. (人等）见多识广的,a cosmopolitan person, belief, opinion etc shows?a?wide?experience of different people and places
2（.   指地方）世界性的，国际性的（含褒义）a cosmopolitan place has people from many different parts of the world  –  use this to show approval"
555,S15,Q2,capricious,[k??pr???s],"反复无常的;  易变的  changing often and quickly : impulsive,?unpredicatable"
556,S15,Q2,insular,[??ns?l?],"孤立的；与世隔绝的  separated?from other people or cultures : not knowing or interested in
new or different ideas"
557,S15,Q2,mercenary,[?m?s?n?ri],唯利是图的??caring only about making money
558,S15,Q2,intransigent,[?n?tr?nz?d??nt],"不妥协的，不让步的  characterized by refusal to compromise or to abandon an extreme
position or attitude : uncompromising"
559,S15,Q3,sycophancy,[?s?k?f?nsi],拍马屁  obsequious flattery
560,S15,Q3,competing,[k?m'pit??],"1. (想法、要求或利益)相互矛盾的;  相互抵触的  competing stories, ideas etc cannot all be right or accepted
2.  相互竞争的产品/品牌/公司等.competing products/brands/companies etc products etc that
are trying to be more successful than each other"
561,S15,Q3,solitude,[?sɑl?tud],独处  the quality or state of being alone or remote from society : seclusion
562,S15,Q3,obeisance,[o??bi?sns],尊敬  respect for someone or something
563,S15,Q3,debilitate,[d??b?l?te?t],使衰弱，削弱  to impair the strength of : enfeeble
564,S15,Q3,mixed,[m?kst],"复杂[矛盾]的心情  if you have mixed feelings or emotions about something, you are not sure whether?you like, agree with, or feel happy about it     (霍叔叔提示：本题 mixed  的意思就是强
调矛盾之意  而不是大家熟悉“混合的  ”）"
565,S15,Q4,mimic,[?m?m?k],模仿  imitate
566,S15,Q4,preclude,[pr??klud],阻止     to prevent something from happening
567,S15,Q5,contemplation,[?kɑnt?m?ple??n],沉思  the act of thinking?deeply about something
568,S15,Q5,plentitude,[?plent?tu?d],大量，充分  plenitude
569,S15,Q6,privation,[pra??ve??n],贫困  a?lack?or?loss?of?the?basis?things that people need to live properly
570,S15,Q6,debunk,[?di??b??k],曝光;  揭露...的真相  to show that something (such as a belief or theory) is?not?true
571,S15,Q6,assuage,[??swed?],"1.  缓解;  减轻  to make less painful, severe : ease
2.  使满足  to put an end to by satisfying : appease,?quench"
572,S15,Q6,intangible,[?n?t?nd??bl],无形的，触摸不到的  not made of physical substance : not?able?to?be?touched : impalpable
573,S15,Q6,plague,[pleɡ],"1.不断困扰，折磨，使苦恼[usually passive  一般用被动态] to cause?pain,?suffering,?or?trouble to someone, especially for a long period of time
2.(尤指通过不断索要或提问来)使烦恼[生气]，打搅 to annoy someone, especially by asking for something many times or asking them many questions .
3.瘟疫 Plague or the plague is a very infectious disease that usually results in death. The
patient has a severe fever and swellings on his or her body."
574,S15,Q6,malady,[?m?l?di],小疾病  a?disease?or?illness
575,S15,Q7,muddle,[?m?dl],使…困惑  to cause?confusion in someone's mind
576,S15,Q7,convivial,[k?n?v?v??l],"欢乐的  of or relatingt to social events where people can eat, drink, and talk in?a?friendly?way
with?others"
577,S15,Q7,hostile,[?hɑstl],"1.  敌对的  of or relating?to?an?enemy
2.  不友好的  not?friendly
3. (环境和条件等)  不利的  not?hospitable"
578,S15,Q8,profusion,[pr??fju?n],大量，丰富  a?large?amount?of something
579,S15,Q8,resurgence,[r??s??rd??ns],恢复，复苏  a growth?or?increase that occurs after a period without growth or increase
580,S15,Q9,stern,[st?n],"1.  严厉的  having a definite hardness or severity of nature or manner : austere
2.  强烈不满或批评  expressing?strong?disapproval?or?criticism"
581,S15,Q9,prescient,[?presi?nt],有先见之明的，预知的  the ability to know what will or might happen in the future
582,S15,Q9,prophetic,[pr??fet?k],预知的  correctly stating what will happen in the future
583,S15,Q9,indifferent,[?n?d?fr?nt],"1.  没兴趣的，冷淡的  marked by a lack of enthusiasm : apathetic
2.  公正的  marked by impartiality : unbiased"
584,S15,Q9,apathetic,[??p??θ?t?k],没兴趣的  having little or interest or concern：??indifferent
585,S15,Q10,beneficence,[b??nef?sns],善行;  慈善  the act of doing good;?kindness
586,S15,Q10,altruism,[??ltru?z?m],利他主义  Altruism is unselfish concern for other people's happiness and welfare.
587,S16,Q1,disciplined,[?d?s?pl?nd],有纪律的  Someone who is disciplined behaves?or?works?in?a?controlled?way.
588,S16,Q1,formidable,[?f?rm?d?bl],"1.  强大的  very?powerful?or?strong : deserving serious attention and respect
2.  难处理的  very difficult?to?deal?with
3.  令人敬畏的  causing?fear, dread, or apprehension"
589,S16,Q1,specious,[?spi???s],似是而非的  appearing to be true but actually false
590,S16,Q1,pervasive,[p??ves?v],普遍的，到处渗透的  existing in or spreading?through?every?part?of something
591,S16,Q1,irreversible,[??r??v?s?bl],不可逆的  impossible?to?change?back to a previous condition or state
592,S16,Q1,ambivalent,[?m?b?v?l?nt],"矛盾的  simultaneous and contradictory attitudes or feelings toward an object, person, or
action"
593,S16,Q2,utilitarian,[?jut?l??t?r??n],实用主义者  made to be useful rather than to be decorative or comfortable
594,S16,Q2,perfunctory,[p??f??kt?ri],"1.例行公事般的，敷衍的  characterized by routine or superficiality : mechanical <a perfunctory smile>
2.  缺少激情的  lacking?in?interest?or enthusiasm"
595,S16,Q2,egregious,[??ɡri?d?i?s],臭名昭著的，恶名昭彰的  very bad and easily noticed：blatant；flagrant
596,S16,Q2,empirical,[?m?p?r?kl],"实证的  based on scientific?testing or practical?experience，not on ideas    反义词：
theoretical"
597,S16,Q2,inductive,[?n?d?kt?v],归纳的    using particular examples to reach    a general    conclusion about something
598,S16,Q3,"stand out from the
pack","[st?nd] [a?t] [?v] [??]
[p?k]",脱颖而出     to be different?from?others
599,S16,Q3,anonymous,[??nɑn?m?s],"1.  匿名的  not?named or identified
2.  不明显的  not?distinct?or?noticeable"
600,S16,Q3,evenhanded,[?i?v?n?h?nd?d],"公平的  fair,?impartial"
601,S16,Q3,scathing,[?ske???],（批评等）严厉的，尖刻的  a scathing?remark?criticizes sb or sth very severely
602,S16,Q3,confessional,[k?n?f???nl],自白的，忏悔的  telling?private?information about a?person's?life
603,S16,Q4,testimony,[?t?st??moni],证据??proof?or?evidence that something exists or is true
604,S16,Q4,anecdote,[??n?kdot],"（基于个人经验的且无可靠的科学根据）轶事，趣闻  a short story     based on your personal
experience?rather?than?on?reliable?research?or?statistics"
605,S16,Q4,anecdotal,[??n?k?do?tl],"（无可靠科学根据根据的）轶闻的  : Anecdotal evidence is based?on?individual?accounts, rather than on reliable research or statistics, and so?may?not?be?valid."
606,S16,Q4,satirize,[?s?t?ra?z],"讽刺，挖苦  to show that someone or something is foolish ,weak,bad,etc., by using satire"
607,S16,Q5,abhor,[?b?h?r],憎恶  to dislike someone or something very much
608,S16,Q5,relish,[?r?l??],享受  to enjoy?or?take?pleasure in something
609,S16,Q5,evoke,[??vok],"引起，唤起  to?bring (a memory, feeling, image, etc.) into?the?mind"
610,S16,Q5,enchanting,[?n?t??nt??],有魅力的??charming
611,S16,Q7,ubiquity,[ju??b?kw?ti],无处不在  presence everywhere or in many places especially simultaneously : omnipresence
612,S16,Q7,omnipresence,"[,ɑmn?'pr?zns]",无处不在  ubiquity
613,S16,Q8,encomium,[en?ko?mi?m],赞美  glowing and warmly enthusiastic praise
614,S16,Q8,indict,[?n?da?t],"控告  to charge with a fault or offense : criticize,?accuse"
615,S16,Q8,rehabilitate,[?ri???b?l?te?t],"使康复  to bring someone or something back?to?a?normal,?healthy?condition?after an illness,
injury, drug problem, etc."
616,S16,Q8,exalt,[?ɡ?z?lt],赞扬  to praise someone or something highly
617,S16,Q8,valorize,"['v?l?,ra?z]",赞美  to assign?value?or?merit to : validate
618,S16,Q8,excoriate,[?eks?k??rie?t],严厉批评  to criticize?someone or something very?harshly
619,S16,Q9,trickster,[?tr?kst?r],骗子  someone who tricks?or?deceives people especially in order to get something
620,S16,Q9,disdain,[d?s?den],"鄙视，蔑视  a feeling of contempt for someone or something regarded as unworthy or
inferior : scorn"
621,S16,Q9,dilemma,[d??lem?],困境，进退两难  a situation in which you have to make a difficult?choice
622,S16,Q9,quandary,[?kwɑ?nd?ri],困惑  a situation in which you are confused about what to do
623,S16,Q9,ploy,[pl??],"计策，手段  a?clever?trick?or?plan that is used to get someone to do something or to gain an
advantage over someone"
624,S17,Q1,irreverent,[?'r?v?r?nt],"不尊敬的  If you describe someone as irreverent, you mean that they do not show respect for
people or things that are generally respected."
625,S17,Q1,usher in,['???] [?n],"开启，  开创  to cause sth new to start ,or to be at the start of sth new."
626,S17,Q1,sycophantic,[?s?k??f?nt?k],"阿谀奉承的  of, relating to, or characteristic of a sycophant : fawning,?obsequious"
627,S17,Q1,unsentimental,[??n?sent??mentl],"不动感情的  If you describe someone as unsentimental, you mean that they do?not?allow emotions like pity or affection to interfere with their work or decisions."
628,S17,Q1,censorious,[sen?s??ri?s],"批评的  having or showing a tendency to criticize someone or something severly : very
critical"
629,S17,Q1,pedantic,[p??d?nt?k],"迂腐的，学究的  If you say someone is pedantic, you mean that they are too?concerned?with unimportant?details?or?traditional?rules, especially in connection with academic subjects."
630,S17,Q2,eliminate,[??l?m?net],消除，根除  to put an end ot or get rid of : remove
631,S17,Q2,wherewithal,[?werw???:l],"必要的手段/资金  If you have the wherewithal for something, you have the means, especially
the money, that you need for it."
632,S17,Q2,solemnity,[s??lemn?ti],严肃，庄严  the quality of being formal?or?serious
633,S17,Q2,panache,[p??n??],派头  ??lots?of?energy?and?style
634,S17,Q3,disguise,[d?s?ɡa?z],掩饰，伪装  to obscure the existence or true state or character of : conceal
635,S17,Q3,diminish,[d??m?n??],"使减少;  变少  to become or to cause something to become?less in size, importance,etc."
636,S17,Q3,precede,[pr??sid],"1.  先于  to happen, go, or come?before something or someone
2.  超过，领先  to surpass in rank, dignity, or importance"
637,S17,Q3,supplement,[?s?pl?m?nt],补充  something that is?added?to something else in oreder to make it complete
638,S17,Q3,supplant,[s??pl?nt],代替  to take?the?place?of
639,S17,Q4,credulous,[?kr?d??l?s],轻信的  too ready to believe things : easily?fooled?or?cheated
640,S17,Q4,pseudoscience,[?su?do??sa??ns],"伪科学  a system of theories, assumptions, and methods erroneously regarded as scientific"
641,S17,Q4,endeavor,[?n?dev?r],努力  a serious effort or attempt
642,S17,Q4,inadequacy,[?n??d?kw?si],"1. (一般用于复数）     缺点，不足之处.    A fault or weakness
2.  缺乏，不足??insufficiency,?deficiency"
643,S17,Q5,abnegation,[??bn??ɡe??n],"拒绝，自制  denial,?self-denial"
644,S17,Q5,recapitulation,[?ri?k?p?t?u?le??n],概述  a concise?summary
645,S17,Q5,accretion,[??kri??n],增加，累积  something that has grown?or?accumulated?slowly
646,S17,Q6,panoply,['p?n?pli],"1.华丽服饰 ceremonial attire
2.大批 A panoply of things is a wide range of them, especially one that is considered
impressive."
647,S17,Q6,elusive,[??lus?v],"1.  难以表述的  难懂的  hard to understand, define, or remember; slippery
2.  难以捕捉的  hard to find or capture"
648,S17,Q6,marketable,['mɑrk?t?bl],可以出售的  Something that is marketable is able to be sold because people want to buy it.
649,S17,Q6,raging,[?red???],"1,激烈的；没完没了的  continuing strongly and showing no signs of ending : a raging debate激烈的辩论
2.〔头痛等〕剧烈的  .a raging headache etc is very painful
3.〔自然力量〕猛烈的 continuing or moving with great natural force"
650,S17,Q6,authentic,[??θ?nt?k],真正的  real?or?genuine : not copied or false
