序号,单词,音标,释义
211,thoroughgoing,[?θ??   ro??ɡo???],"完全的;  十足的   You  use  thoroughgoing  to  emphasize  that  someone  or  something  is  fully  or  completely
the type of person or thing specified."
212,attenuate,[??t?njuet],"to make (something) weaker or less in amount, effect, or force"
213,antedate,[??nti?de?t],先于  to be or occur at an earlier date than
214,remedial,[r??mid??l],"1.〔帮助后进学生的〕补习课程/班/老师等  remedial course/class/teacher etc
a special course etc that helps students who have difficulty learning something 2.补救的；纠正的  intended to improve something that is wrong
3.  用于治疗的 intended to cure a problem with someone’s health"
215,annul,[??n?l],"宣布… 无效   If  an  election  or  a  contract  is  annulled,  it  is  declared  invalid,  so  that  legally  it  is  considered
never to have existed."
216,revolt,[r??volt],"1.  反叛，叛乱；造反   if  people  revolt,  they  take  strong  and  often  violent  action  against  the  government, usually with the aim of taking power away from them .
2.  反抗，拒绝服从〔权威、规定或法律〕  to refuse to accept someone’s authority or obey rules or laws
3.使作呕； 使反感；使震惊   if  something  revolts  you,  it  is  so  unpleasant  that  it  makes  you  feel  sick  and shocked"
217,bromide,[?bro?ma?d],"陈词滥调 A bromide is a comment that is intended to calm someone down when they are angry, but that
has been expressed so often that it has become boring and meaningless."
218,banish,[?b?n??],"1.  驱逐，赶走 to not allow someone or something to stay in a particular place .
2.  消除〔想法〕；打消〔念头〕to try to stop thinking about something or someone literary"
219,immure,[??mj?r],监禁，禁闭  to shut someone in a place so that they cannot get out
220,menacing,[?men?s??],"威胁的  If someone or something looks menacing, they give you a feeling that they are likely to cause you
harm or put you in danger."
221,pithy,[?p?θi],"简明扼要的 A pithy comment or piece of writing is short, direct, and full of meaning."
222,inure,[??nj?r],使习惯；使适应(常与 to 连用)：
223,incipient,[?n?s?pi?nt],开始发生的;  正在发展的     An incipient situation or quality is one that is starting to happen or develop.
224,rein in,[ren] [?n],控制  To rein in something means to control it  ：??curb，??restrain
225,bridle,[?bra?dl],rein in  ，  curb，  restrain
226,dislocation,[?d?slo?ke??n],"(制度、进程、生活方式的)紊乱  Dislocation is a situation in which something such as a system, process, or way
of life is greatly disturbed or prevented from continuing as normal."
227,disentangle,[?d?s?n?t??ɡl],"1.  理顺，分清〔混杂的不同观念或信息〕to separate different ideas or pieces of information that have become confused together .
2.  〔从困境中〕解脱出来  disentangle yourself (from sb/sth):to escape from a difficult situation that you are involved in
3.    解开〔绳、线等〕的结 to remove knots from ropes, strings etc that have become twisted or tied together"
228,prop up,[prɑp] [?p],支撑;  维持     To prop up something means to support it or help it to survive.
229,indemnify,[?n?demn?fa?],"1.保证〔遇损坏或损失时〕赔偿  to promise to pay someone if something they own is damaged or lost     .
2.赔偿，补偿〔损失、伤害或损毁 to pay someone money because of loss, injury, or damage that they have
suffered"
230,manacle,[?m?n?kl],"铐上   If  a  prisoner  is  manacled,  their  wrists  or  legs  are  put  in  manacles  in  order  to  prevent  them  from
moving or escaping."
231,clerical,[?kl?r?kl],"办公室文书工作的   Clerical  jobs,  skills,  and  workers  are  concerned  with  routine  work  that  is  done  in  an
office."
232,dissolution,[?d?s??lu??n],"1〔团体、机构等的〕解散，解体.the act of breaking up an organization, institution etc so that it no longer
exists
2.〔某事物的〕衰败，消亡 the process by which something gradually becomes weaker and disappears"
233,meld,[meld],"（使）融合，（使）合并，（使）结合  if two things meld, or if you meld them, they combine into one thing"
234,premeditated,[?pri?   ?med?te?t?d],"预谋(某事，如暴力的犯罪)  done  or  made  according  to  a  plan  :  planned  in  advance  ;  to  plan  or  consider
(something, such as a violent crime) beforehand"
235,plod,[plɑd],"1 沉闷地苦干       to?work?laboriously?and?monotonously : drudge
2  缓慢沉重地走    to?walk?heavily?or?slowly : trudge"
236,sporadic,[sp??r?d?k],零星的  Sporadic occurrences of something?happen?at?irregular?intervals.
237,materialism,[m??t?r??l?z?m],"1.物质主义  Materialism is the attitude of someone who attaches a lot of importance to money and wants to possess a lot of material things.
2.唯物主义 Materialism is the belief that only physical matter exists, and that there is no spiritual world."
238,entrench,[?n?trent?],"确保(地位等)，确立，使(自己)处于有力(或牢固、稳固)地位     If something such as power, a custom, or an idea
is entrenched, it is?firmly?established, so that it would be?difficult?to?change?it."
239,worthwhile,[?w?θ?wa?l],"值得的   If  something  is  worthwhile,  it  is  enjoyable  or  useful,  and  worth  the  time,  money,  or  effort  that  is
spent on it."
240,ecstatic,[?k?st?t?k],"欣喜若狂的     If you are ecstatic, you feel very happy?and?full?of?excitement."
241,euphoric,[ju?   ?f?r?k],"狂喜的  If you are euphoric, you feel?intense?happiness?and?excitement."
242,disgruntled,[d?s?ɡr?ntld],"〔尤因事情未如所愿发生而〕失望的，不满的  annoyed or disappointed, especially because things have not
happened in the way that you wanted  ：??discontented，dissatisfied"
243,forsake,[f?r?sek?  f?-],放弃     to give?up?or?leave?(someone or something) entirely：abandon
244,treachery,[?tr?t??ri],背叛，变节；不忠  betrayal of a trust：??perfidy，treason??，infidelity
245,allegiance,[??lid??ns],"效忠，忠诚  Your allegiance is your support for and loyalty to a particular group, person, or belief：  fidelity"
246,ruinous,[?ru?   ?n?s],"毁灭性的  causing or likely to cause damage or destruction
贵的  costing far too much money"
247,humdrum,[?h?mdr?m],"平凡的;  单调乏味的;  令人厌烦的  If you describe someone or something as humdrum, you mean that they
are ordinary, dull, or boring."
248,nonchalant,[?nɑn???lɑnt],"若无其事的;  漠不关心的  If you describe someone as nonchalant, you mean that they appear?not?to?worry
or?care?about?things?and that they seem?very?calm."
249,pandemonium,[?p?nd??mo?ni?m],"大吵大闹；一片混乱     If there is pandemonium in a place, the people there are behaving in a very noisy and
uncontrolled way."
250,charlatan,[??ɑ?   rl?t?n],假充内行的骗子（含贬义）  someone who pretends to have special skills or knowledge
251,pensive,[?p?ns?v],"沉思的；郁郁不乐的  thinking a lot about something, especially because you are worried or sad"
252,indigenous,[?n?d?d??n?s],"本土的;  当地的   Indigenous  people  or things belong to  the country  in which they  are found,  rather than
coming there or being brought there from another country."
253,halcyon,[?h?ls??n],"(旧日时光)平静的;  幸福的  very happy and successful：calm  ，peaceful；A halcyon time is a time in the past
that was peaceful or happy."
254,askance,[??sk?ns],"质疑地     If you look askance at someone or something, you have a doubtful or suspicious attitude toward
them."
255,jaded,[?d?e?d?d],"厌倦的  If you are jaded, you feel bored, tired, and not enthusiastic, because you have had too much of the
same thing."
256,contumacy,[?k?ntj?m?s?],"顽 固 叛 逆 ;   反 抗 权 威    obstinate  and  wilful??rebelliousness??or??resistance??to??authority;  insubordination;
disobedience"
257,adjacent,[?'d?esnt],"相邻的  If one thing is adjacent to another, the two things are next to each other."
258,vie,[va?],"争夺；竞争  (常与  for，  with  连用)If one person or thing is vying with another for something, the people or
things are competing?for it."
259,peevish,[?piv??],易怒的;  脾气坏的  Someone who is peevish is bad-tempered.
260,standoffish,[?st?nd???   f??],"冷淡的;  不友好的 If you say that someone is standoffish, you mean that they behave in a formal and rather
unfriendly way."
261,snide,[sna?d],"挖苦的，讽刺的 if you say something snide, you say something unkind, often in a clever, indirect way"
262,brainchild,[?bre?nt?a?ld],智慧结晶 Someone's brainchild is an idea or invention that they have thought up or created.
263,consecrate,[?kɑ?   ns?kre?t],"1.把…奉为神圣；尊崇：  This battlefield is consecrated to the memory of soldiers who died here.这个战场被视为圣地以纪念死于此处的战士。
2.奉献，献身：They consecrated their lives to the liberation of their motherland.  他们把生命献给了祖国的解
放事业。"
264,grouchy,[?ɡra?t?i],"好抱怨的;  好发牢骚的  If someone is grouchy, they are very bad-tempered and complain a lot."
265,sordid,[?s??   rd?d],"卑鄙的;  不诚实的  If you describe someone's behaviour as sordid, you mean that it is?immoral?or?dishonest.肮脏的    If you describe a place as sordid, you mean that?it?is?dirty,?unpleasant,?or?depressing."
266,patronizing,[?pe?tr?na?z??],"显出优越感的 If someone is patronizing, they speak or behave toward you in a way that seems friendly, but
that shows that they think they?are?superior?to?you."
267,audacity,[??   ?d?s?ti],a?confident?and?daring quality that is often seen as shocking?or?rude :     temerity
268,vaunt,[v??   nt],"自夸  to describe, praise, or display (one's success, possessions, etc) boastfully"
269,oration,[??   ?re??n],演说 An oration is a formal speech made in public.
270,coagulate,[ko???ɡjule?t],"凝固  When a liquid coagulates, it becomes very thick."
271,riveting,[?r?v?t??],"引人入胜的   If  you  describe  something  as  riveting,  you  mean  that  it  is  extremely  interesting  and  exciting,
and that it holds your attention completely."
272,peremptory,[p??rempt?ri],"霸道的;  专横的     Someone who does something in a peremptory way does it in a way that shows that they
expect to be obeyed immediately."
273,pizzazz,[p??z?z],"激情;   活力   If  you  say  that  someone  or  something  has  pizzazz,  you  mean  that  they  are  very  exciting,
energetic, and stylish."
274,revoke,[r??vok],"撤销;   废除   When  people  in  authority  revoke  something  such  as  a  licence,  a  law,  or  an  agreement,  they
cancel it."
275,perjury,[?p??   rd??ri],"伪证  If someone who is giving evidence in a court of law commits perjury, they lie."
276,idolatry,[a??dɑl?tri],"偶像崇拜  Someone who practises idolatry worships idols.
盲目崇拜 If you refer to someone's  admiration for a particular  person as idolatry,  you think  it is too great
and uncritical."
277,rescind,[r??s?nd],"撤销，  (政府或掌权团体)废除(法律或协议);       If a government or a group of people in power rescind a law or
agreement, they officially withdraw it and state that it is no longer valid."
278,gerrymander,[?d?erim?nd?r],不公正划分(选区) to divide the constituencies of (a voting area) so as to give one party an unfair advantage
279,filibuster,[?f?l??b?st?],"〔在美国国会或其他立法机构中〕以冗长的发言阻挠（议事）   to  try  to  delay  action in  Congress  or  another
law-making group by making very long speeches"
280,impiety,[?m?pa??ti],"〔对宗教或上帝的〕不虔诚，亵渎；不敬的行为  lack of respect for religion or God, or an action that shows this"
281,exhort,[?ɡ?z?rt],"劝告;  勉励     If you exhort someone to do something, you?try?hard?to?persuade?or?encourage?them?to?do?it."
282,etiquette,[??t?k?t],"(尤指特定阶层的)  礼仪; (尤指特定行业的)  规矩  Etiquette is a set of customs and rules for polite behaviour,
especially among a particular class of people or in a particular profession."
283,pander,[?p?nd?],"迎合   If  you  pander  to  someone  or  to  their  wishes,  you  do  everything  that  they  want,  often  to  get  some
advantage for yourself."
284,verity,[?ver?ti],重要的真理[准则，事实] an important principle or fact that is always true
285,cherubic,[t???ru?   b?k],"像天使一样可爱天真无邪的；  If someone looks cherubic, they look sweet and innocent like a cherub."
286,ocular,[?ɑkj?l?],眼睛的;  视觉的  Ocular means relating to the eyes or the ability to see.
287,cull,[k?l],挑出??to?select?or?choose (someone or something) from a group
288,debonair,[?d?b??n?r],"温文尔雅的  A man who is debonair is confident, charming, and well dressed."
289,decrepit,[d??kr?p?t],"1.破旧的??Something that is decrepit is?old?and?in?bad?condition.
2.衰老的 Someone who is decrepit is?old?and?weak."
290,defection,[d??fek?n],背叛，变节  withdrawing support or help despite allegiance or responsibility
291,correlation,[?k?r??le??n],相互关系;  关联     A correlation between things is a connection or link between them.
292,cow,[ka?],"胁迫;  恐吓  If someone is cowed, they are made afraid, or made to behave in a particular way because they
have been frightened or badly treated."
293,dissident,[?d?s?d?nt],"( 意见或态度等) 不一致的，有不同意见的??disagreeing  especially  with  an  established  religious  or  political
system, organization, or belief  ：  iconoclastic  ，  maverick"
294,genteel,[d??n?til],"1.彬彬有礼的，斯文的，文雅的  .polite, gentle, or graceful
2.上流社会的     from or relating to a good social class"
295,haggard,[?h?ɡ?d],"面容枯槁的;   憔悴的   Someone  who  looks  haggard  has  a  tired  expression  and  shadows  under  their  eyes,
especially because they are ill or have not had enough sleep."
296,fathom,[?f???m],"理解   If  you  cannot  fathom  something,  you  are  unable  to  understand  it,  although  you  think  carefully
about it."
297,scruple,[?skrupl],"1.道德良知   Scruples  are??moral?principles??or??beliefs  that  make  you unwilling  to  do  something  that  seems wrong.
2.对…有顾忌；对…感到不安     to be unwilling to do sth because you think it is improper ,morally wrong,etc."
298,reprisal,[r??pra?zl],"报复    If  you  do  something  to  a  person  in  reprisal,  you  hurt  or  punish  them  because  they  have  done
something violent or unpleasant to you."
299,forfeit,[?f?rf?t],"1.( 因违规或做错事而)   失去;   被迫放弃      If  you  forfeit  something,  you  lose  it  or  are  forced  to  give  it  up because you have broken a rule or done something wrong.
2. (尤指为获得别物而)  自愿放弃 If you forfeit something, you give it up willingly, especially so that you can
achieve something else."
300,emaciated,[??me??ie?t?d],"(因疾病或缺乏食物而)极瘦的;  骨瘦如柴的  A person or animal that is emaciated is extremely thin and weak
because of illness or lack of food."
301,titular,[?t?t??l?r],"名义上的 A titular job or position has a name that makes it?seem?important, although the person who has
it is not?really?powerful."
302,sully,[?s?li],弄脏，玷污     to spoil or reduce the value of something that was perfect
303,subjugate,[?s?bd?uɡe?t],"征 服  If   someone   subjugates  a   group  of  people,   they   take   complete??control???of??them,   especially??by
defeating?them in a war."
304,seedy,[?sidi],"肮脏的;  声名狼藉的  If you describe a person or place as seedy, you disapprove of them because they look
dirty?and?messy,?or?they?have?a?bad?reputation."
305,fortuity,[f??   ?tju?   ?t?],偶然  a chance or accidental occurrence
306,distraught,[d??str?t],"心烦意乱的  If someone is distraught, they are so?upset?and?worried?that?they?cannot?think?clearly."
307,stodgy,[?stɑd?i],"墨守成规的，古板而乏味的 if someone or something is stodgy, they are?boring?and?formal?or?old-fashioned"
308,remission,[r??m??n],"1.〔重病的〕减轻，缓解（期）  a period when a serious illness improves for a time
2.〔债务的〕免除  when you allow someone to keep the money they owe you formal"
309,cloistered,[?kl??st?rd],隐居的??separated?from?the?rest?of?the?world?:?protected?from?the?problems?and?concerns?of?everyday?life
310,miscellany,[?m?s?le?ni],混合物;  大杂烩    A miscellany of things is a collection or group of many different kinds of things.
311,spry,[spra?],"(尤指老人)精力充沛的;  精神矍铄的  Someone, especially an old person, who is spry, is lively and active."
312,nimble,[?n?mbl],"敏捷灵巧的      Someone  who  is  nimble  is  able  to  move  their  fingers,  hands,  or  legs  quickly  and  easily.机智的  If you say that someone has a nimble mind, you mean they are clever and can think very quickly."
313,tutelage,[?tu?   t?l?d?],"1.  受指导（期）；受监护（期）  when you are taught or looked after by someone  ：under sb’s tutelage
2.  监护，保护  responsibility for someone’s education, actions, or property"
314,philistine,[?f?l?sti?   n],"庸俗的;  平庸的;  可用来指不关心或不懂得艺术、音乐或文学价值的人  You can use philistine to describe people or  organizations  who  you  think  do??not??care??about??or??understand??the??value??of??good??art,??music,??or
literature."
315,suave,[swɑv],"圆滑的   behaving  in  a  relaxed,  confident,  and  pleasant  way  in  social  situations  :??smoothly??though??often
superficially?gracious?and?sophisticated"
316,venial,[?vin??l],可宽恕的  easily excused or forgiven
317,beige,[be?],lacking distinction  ：  characterless，  featureless，  vanilla
318,repellent,[r??pel?nt],令人厌恶的  If you think that something is horrible and disgusting you can say that it is repellent.
319,duress,[du?res],胁迫  To do something under duress means to do it because someone forces you to do it or threatens you.
320,unsparing,[?n?sper??],"1.严厉的  严苛的  very harsh or severe
2.慷慨的；挥霍的  not sparing or frugal; lavish; profuse"
321,stamina,[?st?m?n?],毅力  Stamina is the physical or mental energy needed to do a tiring activity for a long time.
322,browbeat,[?bra?bi?   t],对…声色俱厉地进行威逼，对…以严词厉色威胁  to use threats or angry speech to make sb do or accept sth
323,malediction,[?m?l??d?k??n],"诅咒；咒骂，中伤；诽谤     : curse , execration"
324,heyday,[?hede],"全盛时期  Someone's heyday is the time when they are?most?powerful,?successful,?or?popular."
325,backfire,[?b?k?fa?r],"事与愿违     If a plan or project backfires, it has?the?opposite?result?to?the?one?that?was?intended."
326,fraught,[fr?t],"充满   ( 问题或风险)   的        If  a  situation  or  action  is  fraught  with  problems  or  risks,  it  is  filled  with  them.令人担忧的     If you say that a situation or action is fraught, you mean that it is worrisome or difficult."
327,garbled,[?ɡɑ?   rbld],"(信息或报告)  混乱不清的  A garbled message or report contains?confused?or?wrong?details, often because
it is spoken by?someone?who?is?nervous?or?in?a?hurry."
328,retard,[?r?tɑrd],"阻碍;  减缓   If  something  retards  a  process,  or  the  development  of  something,  it  makes  it  happen  more
slowly."
329,indoctrinate,[?n?dɑ?   ktr?ne?t],"灌输     If people are indoctrinated, they are taught a particular belief with the aim that they will reject othe
beliefs."
330,inoculate,[??nɑkj??let],"1.灌输(思想等)：to inoculate somebody with new ideas     ：  to introduce sth into the mind of
2.给...预防接种  To inoculate a person or animal means to inject a weak form of a disease into their body as
a way of protecting them against the disease."
331,maniacal,[m??na??kl],"( 行为) 极端的;   疯狂的;   狂热的      If  you  describe  someone's  behaviour  as  maniacal,  you  mean  that  it  is
extreme, violent, or very determined, as if the person were insane."
332,vagrant,[?veɡr?nt],"流浪者
漂泊不定的，流浪的"
333,suborn,[s??b??   rn],"贿赂(某人)做坏事;  煽动(某人)做坏事  to?bribe,?incite,?or?instigate?(a?person)?to?commit a wrongful act"
334,winsome,[?w?ns?m],"迷人的;  有魅力的   If  you describe  a  person or  their  actions  or behaviour  as winsome,  you mean that  they
are?attractive?and?charming."
335,lukewarm,[?l?k?w?m],"不热情的;  不感兴趣的 If  you describe  a  person  or  their  attitude  as  lukewarm,  you  mean  that  they  are not
showing?much?enthusiasm?or?interest."
336,impregnable,[?m?pr?ɡn?bl],"不可战胜的;  无法撼动的  If you say that a person or group is impregnable, or their position is impregnable,
you think they?cannot?be?defeated?by?anyone."
337,beseech,[b??si?   t?],"恳求;  央求  If you beseech someone to do something, you ask?them?very?eagerly?and?anxiously."
338,sinecure,[?sa?n?kj?r],"(尤指)报酬丰厚的挂名职务   A  sinecure is  a  job  for  which you  receive  payment  but  which does  not  involve
much work or responsibility."
339,gamely,[?ɡemli],"勇敢地;  坚决地  If you do something gamely, you do it bravely or with a lot of effort."
340,gambit,[?ɡ?mb?t],"(任何为取得优势的)策略(或行动) A gambit is an action or set of actions which you carry out in order to try to gain an advantage in a situation or game.
开场白     A  gambit  is  a  remark  which  you  make  to  someone  in  order  to  start  or  continue  a  conversation
with them."
341,desultory,[?d?s?lt?ri],"漫无目的的，毫无计划的，散漫的     Something that is desultory is done in an unplanned and disorganized
way, and without enthusiasm."
342,discombobulate,[?d?sk?m?bɑbj??let],使混乱    to throw into confusion
343,disenfranchise,[?d?s?n?fr?nt?a?z],"剥夺  (某人群的)  权利  To disenfranchise a group of people means to take away their right to vote or other
rights that most other people have."
344,prerogative,[pr??rɑ?   ɡ?t?v],"特权     If something is the prerogative of a particular person or group, it is a privilege or a power that only
they have."
345,précis,[?pi?   ?ɑ?   r] [?si?   a??es],大意，梗概，摘要  a sketchy summary of the main points of an argument or theory
346,preposterous,[pr??pɑ?   st?r?s],"荒 谬 的    If  you  describe  something  as  preposterous,  you  mean  that  it  is  extremely  unreasonable  and
foolish."
347,uncouth,[?n?k?θ],行为粗俗的  不礼貌的  behaving in a rude way : not polite or socially acceptable
348,gall,[ɡ?l],〔因某事不公正而〕使恼怒，激怒  to?make?someone?feel upset and angry because of something that is unfair
349,dumbfound,[d?m?fa?nd],"使惊呆;  使目瞪口呆     If someone or something dumbfounds you, they?surprise?you?very?much."
350,dulcet,[?d?ls?t],悦耳的  pleasing to the ear
351,besiege,[b??si?   d?],"1. 包围； 围攻； 围困  to  surround  a  city  or  castle  with  military  force  until  the  people  inside  let  you  take control .
2.(  一般用被动态)〔人、烦恼、想法等〕包围；缠扰   if  people,  worries,  thoughts  etc  besiege  you,  you  are
surrounded by them : beleaguer"
352,sequester,[s??kwest?r],"使...隔离  If someone is sequestered somewhere, they?are?isolated?from?other people."
353,beleaguer,[b??li?   g?],"(为困难所)困扰,使烦恼：to cause constant or repeated trouble for (a person, business,etc.):?besiege"
354,faux pas,[fo?] pas,失礼     A faux pas is a socially embarrassing action or mistake.
355,inform,[?n?f?rm],"影响〔某人的态度或观点〕??to?influence?someone’s attitude or opinion
Her experience as a refugee informs the content of her latest novel."
356,telling,[?t?l??],"显  露  真  相  的           If   something    is    telling,   it   shows    the????true????nature???of???a????person????or????situation.
How a man shaves may be a telling clue to his age.  一个男人如何刮脸也许会暴露他的实际年龄。"
357,boycott,[?b??kɑt],"抵制， 拒绝参加    to  refuse??to??buy??something,??use??something,??or??take??part??in??something  as  a  way  of
protesting"
358,myopic,[ma???p?k],"1.  目光短浅的;  缺乏远见的
2.  近视的"
359,encapsulate,[?n?k?psjule?t],"概括  To encapsulate particular facts or ideas means to represent all their most important aspects in a very
small space or in a single object or event."
360,bowdlerize,[?ba?dl?ra?z],"删改，删除〔书、剧本等中认为有冒犯性的部分〕to remove all the parts of a book, play etc that you think might
offend someone"
361,sanitize,[?s?n?ta?z],"删除… 的不良内容， 净化   to  remove  particular  details  from  a  report,  story  etc  in  order  to  make  it  less offensive,  unpleasant,  or  embarrassing   ：    he  sanitized??version  of  events  which  was  reported  in  the
government-controlled media       受政府控制的媒体上对事件经过过滤的报道"
362,vituperate,[va??tju?   p??re?t],辱骂;  谩骂  to berate or rail (against) abusively; revile
363,fecund,[?fik?nd],"1.土地肥沃的，生殖力旺盛的.capable of producing offspring or vegetation
2.创作能力强的，富有创造力的??intellectually?productive"
364,grudge,[ɡr?d?],勉强做〔某事〕；勉强给〔某物〕  to do or give something very unwillingly
365,forlorn,[f??l?rn],"1.孤苦伶仃的     If someone is forlorn, they?feel?alone?and?unhappy.
2.  不可能成功的  A?forlorn?hope?or?attempt is one that you think has?no?chance?of?success."
366,fortitude,[?f??   rt?tu?   d],刚毅；不屈不挠  strength of mind that enables one to endure adversity with courage
367,grueling,[?gru?   ?l??],"使人精疲力竭的    very difficult; requiring great effort: arduous, demanding, trying"
368,delve,[delv],"探索，探究     If you delve into something, you try to discover?new?information about it."
369,agog,[??ɡɑ?   ɡ],"兴奋的;  急切的  If you are agog, you are?excited about something, and eager to know more about it."
370,congruent,[?kɑ?ɡru?nt],"相似的;  合适的 If one thing is congruent with another thing, they are?similar?or?fit?together?well."
371,byzantine,[ba??z?nta?n;  ?ba?z?nta?n],错中复杂的??highly?complex
372,chide,[t?a?d],"斥 责    If  you  chide  someone,  you??speak??to??them??angrily  because  they  have  done  something  bad  or
foolish."
373,inveigle,[?n?ve?ɡl],"诱骗   If  you  inveigle  someone  into  doing  something,  you  cleverly??persuade??them??to??do??it??when??they??do
not?really?want?to."
374,expound,[?k?spa?nd],"阐释  If you expound an idea or opinion, you give a clear?and?detailed?explanation?of?it."
375,gridlock,[?ɡr?dlɑk],僵局；交通全面堵塞
376,set forth,[s?t] [f?rθ],"阐明（观点）   to?explain ideas  ，facts or opinions in  a clearly  organized  way in writing or  in a  speech  ：
expound"
377,inveigh,[?n?ve?],"猛烈抨击     If you inveigh against something, you criticize it strongly."
378,exceptionable,[?k?sep??n?b?l],(会)引起反对的;  可以反对的  open to or subject to objection; objectionable
379,seemly,[?si?   mli],(行为或穿着)得体的  Seemly behaviour or dress is appropriate in the particular circumstances.
380,usurp,[ju?   ?z??   rp],"篡夺，夺取〔权力、地位、工作等〕  to take someone else’s power, position, job etc when you do not have
the right to"
381,vigilant,[?v?d??l?nt],"警 惕 的       Someone  who  is  vigilant  gives  careful  attention  to  a  particular  problem  or  situation  and
concentrates on noticing any danger or trouble that there might be."
382,adamant,[??d?m?nt],坚定不移的，顽强不屈的  very determined
383,demagogue,[?dem?ɡɑ?   ɡ],"蛊惑民心的政客，煽动民众的政客〔含贬义〕 a political leader who tries to make people feel strong emotions
in order to influence their opinions"
384,decorous,[?dek?r?s],礼貌得体的     seemly，  polite，  punctilious
385,decorum,[d??k??   r?m],"礼貌得体    Decorum is behaviour that people consider to be?correct,?polite,?and?respectable."
386,fidgety,[?f?d??ti],"烦躁不安的  Someone who is fidgety keeps fidgeting, for example, because they are nervous?or?bored."
387,menial,[?minj?l],"卑微的    Menial work is very?boring, and the people who do it have a?low?status?and?are?usually?badly?paid."
388,kernel,[?k?nl],"1.〔陈述、观点、计划等的〕核心，中心，要点  the most?important part of a statement, idea, plan etc
2.〔果实的〕仁；核仁
3.  〔某物的〕极小一部分，微量"
389,attrition,[??tr???n],"1.自然减员  when people leave a company or course of study and are not replaced .
2.〔对敌人的〕消耗， 消磨  the  process  of  gradually  destroying  your  enemy  or  making  them  weak  by
attacking them continuously"
390,irredeemable,[??r??di?   m?bl],"〔因太糟而〕不能纠正的；无法补救的；不可救药的  too bad to be corrected, repaired, or saved formal"
391,irrevocable,[??rev?k?bl],"不可改变的  If a decision, action, or change is irrevocable, it cannot be changed or reversed."
392,invincible,[?n?v?ns?bl],"不可战胜的  If you describe an army or sports team as invincible, you believe that they cannot be defeated
indomitable"
393,precis,[pre??si?   ],大意，梗概，摘要，概要  a sketchy summary of the main points of an argument or theory:?outline，?synopsis
394,jaunty,[?d??nti],"充 满 信 心 和 活 力 的  If  you  describe  someone  or  something  as  jaunty,  you  mean  that  they  are  full  of
confidence and energy."
395,retribution,[?r?tr??bju??n],惩罚，报应     punishment for doing sth wrong：  reprisal，??revenge??，vengeance
396,nitpick,[?n?tp?k],挑剔  be overly critical; criticize minor details：??carp，??cavil
397,drudgery,[?dr?d??ri],"苦差事   You  use  drudgery  to  refer  to  jobs  and  tasks  which  are  boring  or  unpleasant  but  which  must  be
done"
398,conversant,[k?n?v??   rsnt],"熟悉的  If you are conversant with something, you are familiar with it and able to deal with it."
399,efficacy,[?ef?k?si],功效，效力  capacity or power to produce a desired effect
400,inexorable,[?n??ks?r?bl],不可阻挡的 You use inexorable to describe a?process?that?cannot?be?stopped.
401,harrowing,[?h?ro???],折磨人的  A harrowing experience is extremely upsetting or disturbing.
402,hermetic,[h??m?t?k],"1.封闭的;  与世隔绝的  You use hermetic to describe something which you disapprove of because it seems to be totally separate from other people and things in society.
2.relating to or characterized by occultism or abstruseness :?recondite"
403,dissonance,[?d?s?n?ns],不一致  Dissonance is a lack of agreement or harmony between things
404,squeal,[skwil],"发出长而尖的声音  If someone or something squeals, they make a long, high-pitched sound."
405,trying,[?tra???],"难对付的;  令人厌烦的     If you describe something or someone as trying, you mean that they  are?difficult
to?deal?with?and?make?you?feel?impatient?or?annoyed."
406,penchant,[?pent??nt],"特别的喜好     If someone has a penchant  for something, they  have a?special?liking?for?it?or?a?tendency?to do?it."
407,dissimulate,[d??s?mjule?t],"(以假象)掩饰(感情、意图、动机等)     When  people  dissimulate,  they  hide  their  true feelings,  intentions,  or
nature."
408,dexterity,[d?k'st?r?ti],"(手或心思)灵巧  Dexterity is skill in using your hands, or sometimes your mind."
409,hand-wringing,[h?nd] [r??],"绝望   If  you  accuse  someone  of  hand-wringing,  you  mean  that  they  are  expressing  sorrow  about  a  bad
situation but are saying that they are unable to change it."
410,homage,[?hɑm?d?],"崇敬  Homage is respect shown toward someone or something you admire, or to a person in authority."
411,skittish,['sk?t??],easily frightened：  restive
412,discrete,[d?'skrit],clearly separate
413,synopses,[si'n?psi:z],提要  ，梗概  summary of a longer piece of writing or work
414,imperceptible,"[,?mp?'s?pt?bl]",难以察觉的  almost impossible to see or notice  ：  gradual
415,gradual,['ɡr?d?u?l],"逐渐的（难以察觉的）  moving, changing, or developing by fine or often?imperceptible?degrees：
imperceptible"
416,soft-spoken,['s?ft'spok?n],"说话温和的     Someone who is soft-spoken has a quiet, gentle voice."
417,unprepossessing,"[,?npri?p?'zes??]","If you describe someone or something as unprepossessing, you mean that they look rather plain or
ordinary,?although?they?may?have?good?or?special?qualities?that?are?hidden??霍叔叔提示：务必记住这个
词的英文释义??，不要查中文释义."
418,invention,[?n?v?n??n],"虚构  If you refer to someone's account of something as an invention, you think that it is untrue and that
they have made it up."
419,posturing,[?pɑ?st??r],"1.(指观点或态度上)假装的姿态，装腔作势  when someone pretends to have a particular opinion or attitude
2.扭捏作态，做作的举止  when someone stands or moves in a way that they hope will make other people
notice and admire them"
420,tenor,[?t?n?],"1.男高音 a male singing voice that can reach the range of notes below the lowest woman’s voice, or a man
with a voice like this         。
2.〔文章或讲话的〕大意，要旨  the general meaning of something written or spoken, or the general attitude
expressed in it"
