,,GRE词以类记,
1725,prude,n.过分守礼的人,张红岩：list011
1726,pugilist,"n. 拳击手,拳师",张红岩：list011
1727,pundit,"n.权威人士,专家",张红岩：list011
1728,quack,n.冒充内行之人; 庸医,张红岩：list011
1729,quisling,"n.卖国贼,内奸",张红岩：list011
1730,rabble,n.乌合之众; 下等人,张红岩：list011
1731,raconteur,n.善于讲故事的人,张红岩：list011
1732,ranger,n. 森林管理员;巡逻骑警,张红岩：list011
1733,recipient,"n. 接受者,收受者",张红岩：list011
1734,recluse,n. 隐士; adj. 隐居的,张红岩：list011
1735,referee,n. 裁判员; 仲裁者,张红岩：list011
1736,refugee,n.难民，流亡者,张红岩：list011
1737,resident,n.居民；adj.定居的，常驻的,张红岩：list011
1738,retainer,n. 侍从,张红岩：list011
1739,retinue,"n. 侍从,随员团",张红岩：list011
1740,rider,"n.附文,附件",张红岩：list011
1741,rival,"n. 竞争者,对手;vt. 与...匹敌",张红岩：list011
1742,rookie,"n. 新兵,新球员",张红岩：list011
1743,rudder,n. 船舵; 领导者,张红岩：list011
1744,ruffian,"n. 恶棍,歹徒; adj. 残暴的",张红岩：list011
1745,saboteur,n.从事破坏活动者,张红岩：list011
1746,savant,"n. 博学之士,大学士",张红岩：list011
1747,screw,n.螺丝钉，螺旋；吝啬鬼,张红岩：list011
1748,sentinel,"n.哨兵,卫兵",张红岩：list011
1749,servitude,"n. 奴役,劳役",张红岩：list011
1750,sheriff,n.县治安官,张红岩：list011
1751,sibling,n.兄弟或姊妹,张红岩：list011
1752,sibyl,"n.女预言家,女先知",张红岩：list011
1753,silversmith,n. 银匠,张红岩：list011
1754,forebear,"n. 祖宗,祖先",张红岩：list011
1755,simpleton,n.笨蛋,张红岩：list011
1756,freebooter,n.海盗,张红岩：list011
1757,hireling,n.雇员,张红岩：list011
1758,hothead,n.急性子的人,张红岩：list011
1759,inamorata,n.情妇,张红岩：list011
1760,intelligentsia,n.知识阶层，知识界,张红岩：list011
1761,masochist,n.受虐狂，性受虐狂,张红岩：list011
1762,opportunist,n.机会主义者;a.机会主义的,张红岩：list011
1763,optician,n.眼镜商,张红岩：list011
1764,padre,n.随军牧师,张红岩：list011
1765,paramour,"n.情夫,情妇",张红岩：list011
1766,pharisee,n.伪善者,张红岩：list011
1767,rank-and-file,n.普通士兵,张红岩：list011
1768,subject,n.学科；科目,张红岩：list012
1769,professional,adj.专业的；职业的,张红岩：list012
1770,tutor,n.家庭教师,张红岩：list012
1771,professional,adj.专业的；职业的  n.专业人员；职业运动员,张红岩：list012
1772,witch,n.女巫；老丑妇,张红岩：list012
1773,witness,vt.目睹;目击;为……作证  n.证据;目击者,张红岩：list012
1774,mariner,n.水手,张红岩：list012
1775,surgeon,n.外科医生,张红岩：list012
1776,aboriginal,adj.土著的,张红岩：list012
1777,spectator,n.观看者;观众,张红岩：list012
1778,skinflint,n.吝啬鬼,张红岩：list012
1779,sluggard,n.懒鬼,张红岩：list012
1780,spendthrift,adj. n.挥金如土的(人),张红岩：list012
1781,stickler,n.坚持细节之人,张红岩：list012
1782,stoic,n.坚忍克己之人,张红岩：list012
1783,stowaway,n.(藏于轮船、飞机中的)偷乘者,张红岩：list012
1784,subject,"n. 受支配的人, 隶属",张红岩：list012
1785,suffragist,n.参政权扩大论者；妇女政权论者,张红岩：list012
1786,supplicant,"n.乞求者,恳求者",张红岩：list012
1787,surgeon,n.外科医师；军医，船上的医生,张红岩：list012
1788,surveyor,n. 测量员,张红岩：list012
1789,sycophant,n.马屁精,张红岩：list012
1790,taxonomist,n.分类学家,张红岩：list012
1791,technocrat,n.技术管理人员,张红岩：list012
1792,tenant,n. 房客,张红岩：list012
1793,testator,n.立遗嘱的人,张红岩：list012
1794,tinker,"n. 补锅工人, 笨拙的修补 vt. 修补",张红岩：list012
1795,toady,"n.谄媚者,马屁精",张红岩：list012
1796,traitor,"n.卖国贼,叛徒",张红岩：list012
1797,turncoat,"n. 变节者, 叛徒",张红岩：list012
1798,tutor,n.助教；监护人；vi. vt.辅导,张红岩：list012
1799,tyrant,n.暴君,张红岩：list012
1800,tyro,n.新手,张红岩：list012
1801,underdog,"n. 受欺负者,弱者",张红岩：list012
1802,underling,"n.下属,手下",张红岩：list012
1803,vagrant,adj.漂泊的；n.流浪汉，无赖,张红岩：list012
1804,vendor,n.小贩,张红岩：list012
1805,ventriloquist,n.口技表演者，会口技的人,张红岩：list012
1806,veteran,n.老兵，老手；adj.经验丰富的,张红岩：list012
1807,vicar,n.教区牧师,张红岩：list012
1808,vintner,n.酒商,张红岩：list012
1809,virtuoso,n.演艺精湛的人,张红岩：list012
1810,votary,"n.崇拜者,热心支持者",张红岩：list012
1811,wag,vi. vt.(狗尾巴等)摆动; n.诙谐幽默者,张红岩：list012
1812,wastrel,n.挥霍无度的人,张红岩：list012
1813,windbag,n.饶舌之人,张红岩：list012
1814,witness,n. 目击者 vi. vt. 目击,张红岩：list012
1815,wrangler,"n. 口角者, 争论者, 牧马者",张红岩：list012
1816,yokel,n.乡巴佬,张红岩：list012
1817,aboriginal,"n. 原始居民,土著",张红岩：list012
1818,archer,"n.(运动或战争中的)弓箭手,射手",张红岩：list012
1819,baron,"n.贵族;大亨,巨头",张红岩：list012
1820,bather,n. 入浴者，浴疗者,张红岩：list012
1821,celibate,"n. adj. 独身者,不结婚的",张红岩：list012
1822,cineaste,n. 影迷，热衷于电影的人,张红岩：list012
1823,confidant,n. 心腹朋友，知己,张红岩：list012
1824,cripple,n. 跛子; vt. (使)残废,张红岩：list012
1825,dastard,n. 懦夫，胆小的人,张红岩：list012
1826,daubster,n. 拙劣的画家,张红岩：list012
1827,desperado,n.亡命之徒,张红岩：list012
1828,dictator,n. 独裁者,张红岩：list012
1829,equestrian,n.骑师;adj.骑马的,张红岩：list012
1830,escort,vt. 护送; n. 护送者,张红岩：list012
1831,fag,vi. vt.苦干; n.苦工,张红岩：list012
1832,fop,n. (喜好精致服装的)花花公子,张红岩：list012
1833,fury,n. 狂怒，狂暴，激烈；狂怒的人；(希神)复仇女神,张红岩：list012
1834,gnome,"n. 地下宝藏的守护神,地精; 格言",张红岩：list012
1835,greenhorn,n. 初学者; 容易受骗的人,张红岩：list012
1836,hawker,n. 沿街叫卖之小贩,张红岩：list012
1837,helot,n. 奴隶; 受人轻视之人,张红岩：list012
1838,herdsman,n. 牧人,张红岩：list012
1839,howler,n. 嚎叫的人或动物; 滑稽可笑的错误,张红岩：list012
1840,imbecile,n. 心智能力极低的人,张红岩：list012
1841,informer,"n.告发者,告密者",张红岩：list012
1842,interlocutor,"n. 对话者,谈话者",张红岩：list012
1843,interloper,n.闯入者,张红岩：list012
1844,lackey,"n. 卑躬屈膝者,走卒",张红岩：list012
1845,laggard,adj. 缓慢的; 落后的; n. 落后者,张红岩：list012
1846,lapidary,"n. 宝石工,宝石专家",张红岩：list012
1847,layman,n. 普通信徒(有别于神职人员); 门外汉,张红岩：list012
1848,lout,n. 粗人,张红岩：list012
1849,maestro,n. 艺术大师,张红岩：list012
1850,mariner,"n. 水手,海员",张红岩：list012
1851,matador,n. 斗牛士,张红岩：list012
1852,megalomania,n. 自大狂,张红岩：list012
1853,menial,"adj. 仆人的,卑微的; n.家仆",张红岩：list012
1854,midget,n. 侏儒,张红岩：list012
1855,mountebank,n. 江湖郎中; 骗子,张红岩：list012
1856,multitude,"n. 多数; 大众,平民",张红岩：list012
1857,naysayer,n. 怀疑者，否定者,张红岩：list012
1858,neonate,n. 初生婴儿,张红岩：list012
1859,niggard,n. 吝啬鬼,张红岩：list012
1860,nonesuch,n. 无匹敌的人,张红岩：list012
1861,nonpareil,adj. n. 无匹敌的(人),张红岩：list012
1862,nude,adj. 赤裸的; n. 裸体者,张红岩：list012
1863,nymph,n. 年轻女神; 少女,张红岩：list012
1864,pastor,n. 牧师; 牧人,张红岩：list012
1865,pawn,"n. vt. 典当,抵押; n. 被利用的小人物",张红岩：list012
1866,personage,n. 名人; (戏剧)角色,张红岩：list012
1867,pesky,"adj. 讨厌的,烦人的",张红岩：list012
1868,plebeian,"n.  adj. 平民,平民的",张红岩：list012
1869,poltroon,n. 懦夫,张红岩：list012
1870,polyglot,n. adj. 通晓多种语言的(人),张红岩：list012
1871,polymath,n. 知识广博者,张红岩：list012
1872,prig,"n. 道学先生,自命不凡者",张红岩：list012
1873,progenitor,"n. 祖先,始祖",张红岩：list012
1874,pygmy,"n.矮人,侏儒",张红岩：list012
1875,pyromania,n.纵火狂,张红岩：list012
1876,racketeer,n. 敲诈者，获取不正当钱财的人,张红岩：list012
1877,rapscallion,n. 流氓，恶棍,张红岩：list012
1878,regent,n. 摄政者(代国王统治者),张红岩：list012
1879,riffraff,n. （贬）乌合之众，群氓,张红岩：list012
1880,ruck,n. 皱褶;普通群众,张红岩：list012
1881,sentry,"n. 哨兵,步哨",张红岩：list012
1882,sequela,n. 后继者；后遗症,张红岩：list012
1883,shipwright,n.造船者,张红岩：list012
1884,signatory,"n. 签署者,签署国",张红岩：list012
1885,sloven,n.不修边幅的人,张红岩：list012
1886,snob,n.势利小人,张红岩：list012
1887,thrall,"n.奴隶,农奴",张红岩：list012
1888,treasurer,n. 司库，财务员，出纳员,张红岩：list012
1889,truant,adj. 逃避责任的；n. 逃学者，逃避者,张红岩：list012
1890,tycoon,"n.有钱有势的企业家,大亨",张红岩：list012
1891,upstart,"n.突然升官的人,暴发户",张红岩：list012
1892,urchin,n.顽童,张红岩：list012
1893,vagabond,"n.浪荡子,流浪者(tramp); adj.流浪的",张红岩：list012
1894,valetudinarian,"n.体弱的人,过分担心生病的人",张红岩：list012
1895,vanguard,n.前卫,张红岩：list012
1896,versemonger,"n.拙劣诗人,打油诗人",张红岩：list012
1897,virago,n. 泼妇，好骂人或好支配人的女人,张红岩：list012
1898,warden,"n.看守人,管理员",张红岩：list012
1899,witch,n. 巫婆，女巫,张红岩：list012
1900,wraith,n.幽灵; 骨瘦如柴的人,张红岩：list012
1901,xenophobia,"n.仇外,排外",张红岩：list012
1902,yeoman,"n.自耕农,乡下人",张红岩：list012
1903,sybarite,n.纵情声色的人,张红岩：list012
1904,waif,n.无家可归者,张红岩：list012
1905,bohemian,n.adj.放荡不羁的(人) ,张红岩：list012
1906,electrorate,n.全体选民,张红岩：list012
1907,shyster,n.奸诈之徒,张红岩：list012
1908,somnambulist,n.梦游者,张红岩：list012
1909,soothsayer,"n.占卜者,预言家",张红岩：list012
1910,supernumerary,n.临时雇工,张红岩：list012
1911,liberalist,n.自由主义者,张红岩：list012
1912,philanthropist,n.慈善家,张红岩：list012
1913,sleeper,n.未料到获得成功的剧、书、人等,张红岩：list012
1914,mathematician,n.数学家,张红岩：list012
1915,plodder,n.辛勤工作的人,张红岩：list012
1916,crone,n.干瘪老丑婆,张红岩：list012
1917,barbecue,n.户外烤肉餐；       v.(指在户外）烤肉,张红岩：list013
1918,barbecue,n.（吃烤肉等的）野餐；烧烤 vt.在烤架上烤（肉等）,张红岩：list013
1919,transparent,adj.透明的,张红岩：list013
1920,aerate,"vt.充气,让空气进入",张红岩：list013
1921,airtight,adj. 密封的,张红岩：list013
1922,anhydrous,adj. 无水的,张红岩：list013
1923,arson,"n. 纵火,放火",张红岩：list013
1924,audible,adj. 听得见的,张红岩：list013
1925,barbecue,"n.烤肉架,烤肉",张红岩：list013
1926,bask,"vi.晒太阳,取暖",张红岩：list013
1927,billowy,adj.如波浪般翻滚的,张红岩：list013
1928,caulk,vt. 填塞（隙缝使不漏水）,张红岩：list013
1929,char,vt.烧焦;使...燃烧成焦炭,张红岩：list013
1930,colander,"n. 滤器,漏勺",张红岩：list013
1931,conflagration,n. 建筑物或森林大火,张红岩：list013
1932,debacle,n. 解冻; 崩溃,张红岩：list013
1933,debouch,"vi. vt. 流出,进入(开阔地区)",张红岩：list013
1934,diaphanous,"adj.(布)精致的,半透明的",张红岩：list013
1935,dim,vt.使暗淡，使模糊,张红岩：list013
1936,douse,vi. vt. 把...浸入水中,张红岩：list013
1937,earsplitting,adj.震耳欲聋的,张红岩：list013
1938,effervesce,vi. 冒泡; 热情洋溢,张红岩：list013
1939,effulgent,adj. 灿烂的,张红岩：list013
1940,emit,vt. 放射(光、热、 味等),张红岩：list013
1941,euphonious,adj. 悦耳的,张红岩：list013
1942,exhale,vt. 呼出(气),张红岩：list013
1943,extinguish,vt. 使...熄灭;使...不复存在,张红岩：list013
1944,flare,"n. vi. vt. (火焰)摇曳,闪耀",张红岩：list013
1945,flint,"n.打火石,燧石",张红岩：list013
1946,fluorescent,"adj. 萤光的,发光的",张红岩：list013
1947,furnace,n. 暖气锅炉,张红岩：list013
1948,gaseous,adj. 似气体的,张红岩：list013
1949,glimmer,vi. 发微光; n. 摇曳的微光,张红岩：list013
1950,glisten,"vi. 闪烁,闪耀",张红岩：list013
1951,gloom,n. 黑暗; 忧郁,张红岩：list013
1952,gloss,n. 光泽; 注解,张红岩：list013
1953,glossy,"adj. 光泽的,光滑的",张红岩：list013
1954,glow,vi.n.光亮，发热；(脸)红,张红岩：list013
1955,grill,vt. 烤; 拷问; n.烤架,张红岩：list013
1956,husky,adj. 声音沙哑的,张红岩：list013
1957,ignite,"vi. vt. 发光; 点燃,燃烧",张红岩：list013
1958,illuminate,vi. vt.启发; 照亮,张红岩：list013
1959,immolate,"vt. 牺牲,焚祭",张红岩：list013
1960,incandescence,"n. 白炽,炽热发光",张红岩：list013
1961,incendiary,adj. 放火的; 纵火的,张红岩：list013
1962,incinerate,"vi. vt. 焚化,毁弃",张红岩：list013
1963,iridescent,"adj. 闪光的,现晕光的",张红岩：list013
1964,jarring,adj.声音刺耳的,张红岩：list013
1965,kindle,"vi. vt. 着火,点燃",张红岩：list013
1966,lustrous,adj. 有光泽的,张红岩：list013
1967,magnitude,n. 重要; 星球的光亮度,张红岩：list013
1968,modulate,vi. vt. 调整(音的强弱); 变调,张红岩：list013
1969,murky,adj. 黑暗的; 朦胧的,张红岩：list013
1970,nocturnal,"adj. 夜晚的,夜间发生的",张红岩：list013
1971,nonflammable,adj. 不易燃的,张红岩：list013
1972,opalescence,n. (不透明的)乳白光,张红岩：list013
1973,parch,vi. vt. 烘烤; 烤焦,张红岩：list013
1974,pyre,n.火葬用的柴堆,张红岩：list013
1975,quaver,"vi. vt. 发颤音,颤抖;n. 颤音",张红岩：list013
1976,quench,vi. vt.熄灭(火); 抑制(欲望),张红岩：list013
1977,repercussion,n. 反响; 影响; 回声,张红岩：list013
1978,resonant,adj. (声音)洪亮的; 共鸣的,张红岩：list013
1979,reverberate,"vi. vt. 起回声,反响",张红岩：list013
1980,scalding,adj. 滚烫的,张红岩：list013
1981,sear,vi. vt. (以烈火)烧灼,张红岩：list013
1982,sepulchral,"adj. 坟墓的,阴深的",张红岩：list013
1983,shriek,vi. vt.尖叫,张红岩：list013
1984,singe,"vt.(轻微地)烧焦,烫焦",张红岩：list013
1985,siren,"n.汽笛,警报器",张红岩：list013
1986,solder,"vt.焊接,焊合",张红岩：list013
1987,spark,"n.火花,火星",张红岩：list013
1988,stentorian,adj.(指声音)极响亮的,张红岩：list013
1989,stoke,vt. 给...添加燃料,张红岩：list013
1990,strident,"adj.尖声的,刺耳的",张红岩：list013
1991,stygian,"adj. 阴暗的,阴森森的",张红岩：list013
1992,tarnish,"vi. vt. n. 失去光泽,晦暗",张红岩：list013
1993,tinder,"n.火绒,火种",张红岩：list013
1994,translucent,adj.(半)透明的,张红岩：list013
1995,transparent,adj. 透明的; 明晰的,张红岩：list013
1996,vent,"vt.发泄(情绪); 开孔; n.孔,口",张红岩：list013
1997,ventilate,"vt.使...通风,透风",张红岩：list013
1998,waft,"vi. vt.飘浮,飘荡",张红岩：list013
1999,weld,"vi. vt.焊接,熔接; 结合",张红岩：list013
2000,whiff,"n. 一吹, 一阵香气, 轻吹",张红岩：list013
2001,winnow,"vi. vt.把(谷物)的物质吹掉,扬去",张红岩：list013
2002,backwater,n. 死水; 闭塞地区,张红岩：list013
2003,bedraggled,"adj.(衣服、头发等)弄湿的,凌乱不堪的",张红岩：list013
2004,billow,n.巨浪; 如波涛之物,张红岩：list013
2005,broil,vi. vt. 烧烤,张红岩：list013
2006,bubble,"vi. vt.起泡; n.气泡,水泡",张红岩：list013
2007,clairvoyant,adj. 透视的，有洞察力的,张红岩：list013
2008,coruscate,vi. 闪亮,张红岩：list013
2009,crepuscular,"adj. 朦胧的,微明的",张红岩：list013
2010,damper,n. 起抑制作用的因素；节气闸，断音装置,张红岩：list013
2011,decant,vt. 将...自瓶中倒入另一容器,张红岩：list013
2012,dulcet,adj. 美妙的,张红岩：list013
2013,fanfare,n.夸耀; 嘹亮的喇叭声,张红岩：list013
2014,flicker,"vi. vt.闪烁,摇曳",张红岩：list013
2015,gleam,"n. 亮光,闪光; vi. vt. 发闪光",张红岩：list013
2016,glitter,"vi.闪烁,闪耀;n.灿烂的光华;诱惑力,魅力",张红岩：list013
2017,gridiron,n. 烤架; 橄榄球场,张红岩：list013
2018,hoarse,"adj. 嘶哑的,粗哑的",张红岩：list013
2019,insolate,vt. 使暴晒,张红岩：list013
2020,miasma,"n. 瘴气,不健康的环境或影响",张红岩：list013
2021,nasal,adj. 鼻的; 有鼻音的,张红岩：list013
2022,ooze,"vt. 慢慢地流,渗出; (勇气)逐渐消失",张红岩：list013
2023,rasp,vi. vt.(声音)像挫东西一样刺耳,张红岩：list013
2024,reedy,adj. 长满芦苇的；(声音)高而尖的,张红岩：list013
2025,rumble,vi. vt.发出持续的低沉的声音,张红岩：list013
2026,rustle,vi. vt.(使某物)发出轻而爽的声音,张红岩：list013
2027,saccharine,adj. (态度)娇媚的；(说话声)娇滴滴的,张红岩：list013
2028,scald,"vt. 烫,用沸水消毒; n. 烫伤",张红岩：list013
2029,scathe,"n. vt. 损害,烧焦",张红岩：list013
2030,sheen,"n.光辉,光泽",张红岩：list013
2031,shimmer,"vi. vt.闪烁,微微发亮",张红岩：list013
2032,showy,"adj.鲜艳的,显眼的",张红岩：list013
2033,sonorous,adj.(声音)宏亮的,张红岩：list013
2034,spangle,n.(缝在衣服上的)金属片; vt.闪光,张红岩：list013
2035,warble,vt.(尤指鸟)叫出柔和的颤音,张红岩：list013
2036,beam,n.横梁;光束 ,张红岩：list013
2037,iridescence,n.彩虹色,张红岩：list013
2038,irradiate,v.使发光;使生辉,张红岩：list013
2039,penumbia,n.边缘；外围,张红岩：list013
2040,auroral,"adj.曙光的,极光的,玫瑰色的 ",张红岩：list013
2041,ingenious,a.（人）机灵的；有独创性的；具创造力的 ,张红岩：list013
2042,draught,"n.通风, 气流;一中之量",张红岩：list013
2043,whistle,"v.n.(吹)口哨,汽笛",张红岩：list013
2044,milk,n.牛奶,张红岩：list014
2045,peel,v.剥;削(水果等的皮),张红岩：list014
2046,stream,n 溪；川；流,张红岩：list014
2047,sip,vt.＆vi.＆n.抿一小口,张红岩：list014
2048,peel,vt.剥；削；剥落  n.果皮；蔬菜皮,张红岩：list014
2049,skim,vt.略读；浏览,张红岩：list014
2050,stake,n.桩（旧时的）火刑柱；利害关系,张红岩：list014
2051,broach,vi. vt.开瓶; 钻洞; 提出(题目),张红岩：list014
2052,caldron,n.(煮汤用的)大锅,张红岩：list014
2053,carafe,n. 玻璃瓶,张红岩：list014
2054,chalice,"n.大酒杯,圣餐杯",张红岩：list014
2055,cinder,"n. 余烬,矿渣",张红岩：list014
2056,cistern,n. (抽水马桶的)贮水池,张红岩：list014
2057,clout,"n. 用手猛击; 权力,影响力",张红岩：list014
2058,crumb,"n. 饼屑,面包屑; 碎裂的东西",张红岩：list014
2059,debris,"n. 废墟,残骸",张红岩：list014
2060,detritus,n.碎屑,张红岩：list014
2061,drain,vi. vt.排出沟外；喝光,张红岩：list014
2062,dregs,"n. 糟粕, 沉淀废物",张红岩：list014
2063,drench,vt.使湿透,张红岩：list014
2064,droplet,n. 小滴,张红岩：list014
2065,dross,n. 浮渣; 糟粕,张红岩：list014
2066,ewer,n. 大口水罐,张红岩：list014
2067,exude,vt.使慢慢流出; 四溢,张红岩：list014
2068,filings,n.锉屑,张红岩：list014
2069,flask,"n.烧瓶,细颈瓶",张红岩：list014
2070,flush,"n. vi. vt. 脸红; 奔流,冲洗",张红岩：list014
2071,fraction,n. 碎片; 小部分,张红岩：list014
2072,goblet,n. 高脚酒杯,张红岩：list014
2073,gush,vt. 涌出; 滔滔不绝地说,张红岩：list014
2074,hirsute,adj. 多毛的,张红岩：list014
2075,immerse,vt. 浸入; 沉浸于,张红岩：list014
2076,impermeable,adj.不可渗透的，透不过的,张红岩：list014
2077,infiltrate,"vi. vt. 渗透,渗入",张红岩：list014
2078,influx,"n. 注入,涌入",张红岩：list014
2079,instill,vt. 滴注; 逐渐灌输,张红岩：list014
2080,itinerant,"adj. 巡回的,流动的",张红岩：list014
2081,lactic,adj. 乳汁的,张红岩：list014
2082,leakage,"n. 渗漏,漏出",张红岩：list014
2083,meander,vi. vt. 蜿蜒而流; 漫步,张红岩：list014
2084,mitten,n. (四指套在一起拇指分开的)手套,张红岩：list014
2085,mobility,"n. 可动性,流动性",张红岩：list014
2086,nonporous,"adj. 无孔的, 不渗透的",张红岩：list014
2087,osmosis,n. 渗透; 潜移默化,张红岩：list014
2088,overflow,vt. 溢出;洋溢,张红岩：list014
2089,overwhelm,vt. 泛滥; 压倒,张红岩：list014
2090,peel,vi. vt. 削去...的皮;剥落 n. 外皮,张红岩：list014
2091,porous,adj. 可渗透的; 多孔的,张红岩：list014
2092,purge,"vt.清洗,洗涤",张红岩：list014
2093,purify,"vi. vt. 使洁净,净化",张红岩：list014
2094,purity,n.纯洁，纯净；纯度,张红岩：list014
2095,rapids,"n.急流,湍流",张红岩：list014
2096,receptacle,n.容器,张红岩：list014
2097,reconstitute,vt. 再组成; 用水泡,张红岩：list014
2098,remains,"n. 遗址,废墟",张红岩：list014
2099,remnant,n. 残余物; 零头布料,张红岩：list014
2100,residual,"adj. 残余的,剩余的",张红岩：list014
2101,residue,n. 剩余,张红岩：list014
2102,ripple,"vi. vt. 起涟漪 n. 细浪,涟漪",张红岩：list014
2103,sawdust,n. 锯屑,张红岩：list014
2104,scrap,"n. 小片,碎屑; vi. vt. 废弃",张红岩：list014
2105,sediment,"n. 沉淀物,渣",张红岩：list014
2106,seep,vi. (液体等)渗漏,张红岩：list014
2107,seethe,"vi. vt. 沸腾,汹涌",张红岩：list014
2108,shard,n.(陶器等)碎片,张红岩：list014
2109,shavings,n.刨花,张红岩：list014
2110,shear,"vi. vt.剪(羊毛),剪发",张红岩：list014
2111,shuck,"n.(植物的)壳,夹; 无用之物",张红岩：list014
2112,sift,"vi. vt.筛,过滤",张红岩：list014
2113,sip,vi. vt.啜饮,张红岩：list014
2114,skillet,n.煎锅,张红岩：list014
2115,skim,"vi. vt. 从液体表面撇去;浏览,略读",张红岩：list014
2116,sluice,"n.水门,水闸; vt.冲洗",张红岩：list014
2117,soak,vi. vt.浸泡，渗透,张红岩：list014
2118,sodden,adj. 浸透了的,张红岩：list014
2119,soggy,adj.湿透的,张红岩：list014
2120,soot,"n.黑烟灰,油烟",张红岩：list014
2121,sopping,adj.浑身湿透的,张红岩：list014
2122,stake,n.柱子; 赌注,张红岩：list014
2123,steep,"vt.浸泡,浸透",张红岩：list014
2124,stream,"n. 小溪; 水流; vi. vt. 倾注,涌流",张红岩：list014
2125,surge,"vi. vt.波涛汹涌,波动",张红岩：list014
2126,swill,vi. vt.冲洗; 痛饮,张红岩：list014
2127,torrent,n.洪流，急流,张红岩：list014
2128,toupee,n.男用假发,张红岩：list014
2129,trickle,vi. vt.一滴滴地流,张红岩：list014
2130,dribble,"vi. vt.(液体)往下滴, 淌",张红岩：list014
2131,fleece,"n.生羊皮,羊毛",张红岩：list014
2132,natation,"n.游泳,游泳术",张红岩：list014
2133,pelt,n. 毛皮; vi. vt. 投掷; (雨)猛降,张红岩：list014
2134,percolate,vt. 过滤出; 渗透,张红岩：list014
2135,phial,n. 小瓶(药水瓶),张红岩：list014
2136,riffle,n. 涟漪,张红岩：list014
2137,rinse,"vi. vt. 以清水冲洗,漂洗",张红岩：list014
2138,shred,n. 碎片，破布；些许,张红岩：list014
2139,souse,"vi. vt.浸在水中,使湿透",张红岩：list014
2140,spout,vi. vt.喷出; 滔滔不绝地讲,张红岩：list014
2141,sublimate,"vi. vt.(使)升华,净化",张红岩：list014
2142,undulate,"vi. vt.波动,起伏",张红岩：list014
2143,whelm,"vi. vt.用...覆盖,淹没",张红岩：list014
2144,wreckage,n.残骸,张红岩：list014
2145,innundate,v.淹没，泛滥,张红岩：list014
2146,leak,n.v.泄漏,张红岩：list014
2147,effervescence,n.起泡,张红岩：list014
2148,remainer,n.剩余,张红岩：list014
2149,stump,n.树桩,张红岩：list014
2150,tonsorial,adj.理发师的,张红岩：list014
2151,ciliated,"adj.有纤毛的 
",张红岩：list014
2152,bucket,n.水桶,张红岩：list014
2153,collection,n.收藏品：收集物,张红岩：list015
2154,chip,n.（食物等的）薄片,张红岩：list015
2155,slice,n.薄片；（切下的）片,张红岩：list015
2156,souvenir,n.纪念物；纪念品,张红岩：list015
2157,championship,n.冠军称号,张红岩：list015
2158,safe,adj.安全的；可靠的,张红岩：list015
2159,ecosystem,n.生态系统,张红岩：list015
2160,nutrition,n.营养,张红岩：list015
2161,slice,"vt.＆vi.将某物切成薄片, 片；薄片；切片",张红岩：list015
2162,reminder,n.提醒的人（物）；暗示,张红岩：list015
2163,arable,adj.可耕的；适于耕种的,张红岩：list015
2164,collection,n.收集；搜集；聚集,张红岩：list015
2165,loop,n.环；弯曲部分；回路  vi.使（某物）成环或成圈,张红岩：list015
2166,souvenir,n.纪念物；纪念品,张红岩：list015
2167,relate,vi.&vt.有关;涉及,张红岩：list015
2168,chip,n.芯片;微小的 东西;集成电路片,张红岩：list015
2169,crown,n.王冠；皇冠,张红岩：list015
2170,status,n.地位；身份,张红岩：list015
2171,helmet,n.头盔；安全帽,张红岩：list015
2172,wage,n.工资；工钱,张红岩：list015
2173,missile,n.导弹;飞弹,张红岩：list015
2174,affinity,n. 密切关系; 吸引力,张红岩：list015
2175,alias,"n.化名,别名",张红岩：list015
2176,anonymity,n.无名，匿名,张红岩：list015
2177,appellation,"n. 名称,称呼",张红岩：list015
2178,arable,"adj. 可耕的,适合种植的",张红岩：list015
2179,array,vt. 部署; n. 数字排列; 陈列,张红岩：list015
2180,barrage,"n. 弹幕;堰,拦河坝",张红岩：list015
2181,bazaar,"n.集市,商店集中区",张红岩：list015
2182,beacon,n. 烽火;信号灯,张红岩：list015
2183,bearing,n.关系，意义；方位,张红岩：list015
2184,betroth,"vt.许配,和...订婚",张红岩：list015
2185,blade,"n.刀锋,刀口",张红岩：list015
2186,byline,n.(列作者名字的)报刊文章首行,张红岩：list015
2187,caste,"n.社会等级,等级",张红岩：list015
2188,centurion,n. 古罗马的百人队长,张红岩：list015
2189,championship,n.冠军地位；锦标赛,张红岩：list015
2190,chip,"n.薄片,碎屑",张红岩：list015
2191,collection,n. 收藏品,张红岩：list015
2192,coronation,n.加冕,张红岩：list015
2193,counterpart,n. 相对应或具有相同功能的人或物,张红岩：list015
2194,coup,n. 意外而成功的行动,张红岩：list015
2195,dagger,"n. 短剑,匕首",张红岩：list015
2196,dart,n. 飞镖; vi. vt. 急驰; 投射,张红岩：list015
2197,denomination,"n. 命名; (长度,币值的)单位",张红岩：list015
2198,designation,"n. 指定; 名称,称呼",张红岩：list015
2199,detonation,n.爆炸，爆炸声,张红岩：list015
2200,draftsmanship,"n. 起草术,制图术",张红岩：list015
2201,egalitarian,adj. 主张人人平等的,张红岩：list015
2202,enlist,"vi. vt.(使)入伍从军, 征募",张红岩：list015
2203,equate,vt. 认为...相等或相仿,张红岩：list015
2204,equivalent,"adj. 相等的,等值的",张红岩：list015
